"","y","raw_text"
"1","Kelly_John","Mr"
"2","Kelly_John"," Chairman, Ranking Member McCaskill, and distinguished Senators of the Committee, please accept my thanks and appreciation for considering my nomination to lead the men and women of the U"
"3","Kelly_John","S"
"4","Kelly_John"," Department of Homeland Security"
"5","Kelly_John"," Senator McCain, Senator Carper, and Secretary Gates � I am grateful that each of you took the time to be here on my behalf, and for your kind words"
"6","Kelly_John"," Please allow me to introduce my family"
"7","Kelly_John"," My wife, Karen, is here, as are my daughter and son-inlaw"
"8","Kelly_John"," Anyone who has answered the call to serve our country knows that the personal sacrifices of public service are often felt most acutely by their families"
"9","Kelly_John"," As the wife and mother to three strong-willed Marines and one determined FBI agent, Karen has been my anchor and I�m grateful for her love and partnership"
"10","Kelly_John"," Over the past 45 years, I have been privileged to serve my nation as both an enlisted Marine and an officer"
"11","Kelly_John"," I have led platoons and divisions"
"12","Kelly_John"," I have held senior command positions in Iraq, served as the Combatant Commander of the U"
"13","Kelly_John","S"
"14","Kelly_John"," Southern Command, and as the Senior Military Assistant to two Secretaries of Defense�Secretaries Gates and Panetta"
"15","Kelly_John"," I have worked with our allies, across agencies, the private sector, and with independent experts to identify innovative, comprehensive solutions to current and emerging threats"
"16","Kelly_John"," These assignments�while varied�shared the common characteristics of working within and leading large, complex, and diverse mission-focused organizations, while under great pressure to produce results"
"17","Kelly_John"," I am humbled to once again be called to serve, this time with the men and women of the Department of Homeland Security"
"18","Kelly_John"," As I solemnly swore before God when I entered the Marine Corps, if confirmed, I will faithfully support and defend the Constitution of the United States against all enemies foreign and domestic�every second of every day"
"19","Kelly_John"," I believe in America and the principles upon which our country and way of life are guaranteed"
"20","Kelly_John"," I believe in respect, tolerance, and diversity of opinion"
"21","Kelly_John"," I have a profound respect for the rule of law and will always strive to uphold it"
"22","Kelly_John"," I have never had a problem speaking truth to power, and I firmly believe that those in power deserve full candor and my honest assessment and recommendations"
"23","Kelly_John"," I love my country, and I will do everything within my power to preserve our liberty, enforce our laws, and protect our citizens"
"24","Kelly_John"," I recognize the many challenges facing the Department of  Homeland Security�and should I be confirmed�I look forward to partnering with you all to protect the homeland"
"25","Kelly_John"," I look forward to discussing the future of this Department and answering the Committee�s questions"
"26","Kelly_John"," Thank you for this opportunity"
"27","Kelly_John"," "
